decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0001,Preserve three-book causal architecture,binding_provisional,"The prologue says the epic belongs equally to the three crowned kings and inventories the full movement through Vanji","Ending at Madurai would turn the Chera movement into optional aftermath","Retain Pukar, Madurai, hill-country reception and Chera memorialisation in the final adaptation form","The epic's political and memorial argument depends on what happens after Madurai","EV-0001;EV-0002;EV-0014;EV-0021","Classical Tamil; dramaturgy; runtime"
AD-0002,Adult casting for principal young roles,approved,"The poem states literary ages for Kannaki and Kovalan while the narrative contains marriage, coercion and extreme violence","Literal age casting could place minors in unsafe or exploitative material","Cast adult performers and treat the stated ages as literary evidence requiring historical interpretation","This preserves the text while applying modern safeguarding standards","EV-0005;EV-0025","Casting; safeguarding; legal"
AD-0003,Anklet continuity system,binding_provisional,"The anklet is household property, sale object, false evidence, true evidence and the title-bearing cause","A generic prop would weaken the causal chain and courtroom proof","Design and track the paired anklets through material, sound, custody, contents, wrapping, sale and breaking","The object must remain legible without revealing its evidentiary difference too early","EV-0003;EV-0007;EV-0008;EV-0024","Tamil commentary; jewellery history; sound; props"
AD-0004,Procedural collapse in Kovalan's execution,binding_provisional,"The goldsmith redirects suspicion and the Pandya orders killing without investigation","A single villain explanation would excuse the wider system","Show the movement from market accusation through access to authority, order and execution; mark invented procedural links as interpretation","The tragedy depends on both false testimony and failed government","EV-0008;EV-0009;EV-0010;EV-0012;EV-0027","Legal history; Tamil; political history"
AD-0005,No romantic absolution of Kovalan,provisional,"Kovalan's choices contribute to wealth loss and household rupture, but his execution is unjust","The film may either excuse all earlier conduct or imply that execution is punishment for private failure","Keep him accountable in Pukar while presenting the Madurai killing as wrongful and disproportionate","Moral complexity and legal innocence are not opposites","EV-0006;EV-0009;EV-0010","Literary studies; gender review; performance"
AD-0006,Madhavi as artist and worker,binding_provisional,"The epic identifies Madhavi through theatre training and devotes major cantos to performance","Later moralising can reduce her to a temptress who causes the hero's fall","Build her through training, artistic knowledge, labour, patronage, household pressure and emotional agency","The Pukar movement loses its social and artistic meaning if her profession is treated as contamination","EV-0006;EV-0014","Tamil performance studies; dance; music; gender history"
AD-0007,Kannaki's courtroom proof precedes spectacle,binding_provisional,"The Madurai sequence moves through suffering, city-circling and lawsuit before burning","Immediate magical destruction would erase evidence and public accusation","Give dramatic priority to her movement, speech, anklet handling and proof before fire","Her authority comes from truth made public, not from visual power alone","EV-0003;EV-0011;EV-0012;EV-0015","Tamil; performance; VFX; legal history"
AD-0008,Burning as inhabited civic catastrophe,binding_provisional,"The poem connects failed government to destruction of Madurai","Spectacle can make mass suffering exhilarating or abstract","Show differentiated inhabitants, rescue, flight, animals, water and institutional collapse; avoid triumphal destruction montage","The city must remain a human world even under divine or moral judgement","EV-0011;EV-0012;EV-0015","Ethics; fire safety; urban history; VFX"
AD-0009,Karma does not erase agency,approved,"The poem includes ripening past action and a former-birth curse alongside explicit government failure","Karmic explanation may become victim-blaming or institutional excuse","Allow characters to articulate causation without treating it as a legal verdict or moral exoneration","The adaptation must hold metaphysical and human causation together","EV-0001;EV-0012;EV-0013;EV-0028","Tamil philosophy; religious studies; ethics"
AD-0010,Dynamic landscape treatment,provisional,"The Madurai road describes landscapes changing under season and contains agricultural and sacred knowledge","Production may turn thinai into static colour-coded scenery","Represent season, water, labour, route knowledge and bodily difficulty rather than fixed postcard zones","The road is a transformation of protection, ecology and status","EV-0016;EV-0017;EV-0018","Classical Tamil ecology; botany; geography"
AD-0011,Hill community as interpreting agents,binding_provisional,"The hill people question Kannaki, witness signs, proclaim her deity and establish worship","They could be reduced to an exotic chorus validating the heroine","Stage their questions, deliberation, instruments, boundary-making and collective action as the mechanism of deification","Kannaki becomes socially sacred through reception, not merely through VFX","EV-0019;EV-0020;EV-0021;EV-0022","Tamil anthropology; community history; music; religion"
AD-0012,No automatic medieval Chola iconography,approved,"The epic's literary world cannot be dated or visualised simply through later Chola monuments","Audience familiarity may produce gopurams, bronzes and court styles from much later periods","Use an early-historic working palette and label uncertain reconstruction until specialists approve it","Chronological discipline is more important than instant recognisability","EV-0023;EV-0026","Archaeology; architecture; art history; costume"
AD-0013,Performance sequences must change the story,binding_provisional,"The epic is a continuous poem interweaving prose, song, dance and named performance forms","Commercial-film treatment may detach them as interchangeable songs","For every performance document performer, audience, patronage, labour, encoded knowledge and dramatic consequence before screenplay approval","Form is part of narrative causation and social world-building","EV-0014","Tamil music; dance; theatre; dramaturgy"
AD-0014,Supernatural events remain consequential,provisional,"Kannaki's fire, divine explanation and celestial reunion belong to the epic's world","Either sceptical demystification or weightless fantasy could erase sacred and ethical force","Give each supernatural event a distinct cinematic grammar and foreground what it changes in choice, memory and society","Sacred meaning and cinematic restraint can coexist","EV-0011;EV-0013;EV-0022","Tamil religion; VFX; sound; director"
AD-0015,Existing translations are canonical project layer,approved,"Close English translations of all three books are already versioned in this repository","Adaptation notes could detach from their source or silently replace it","Cite book and canto in every evidence record and preserve translation files unchanged except through separate reviewed corrections","Versioned source traceability is the foundation of the project","EV-0001;EV-0014","Translation review; repository governance"