character_id,character,arc_phase,source_ids,source_basis,adaptation_use,interpretation_limit,status
KAN-01,Kaṇṇaki,merchant daughter and wife,"HWT-0030;HWT-0032;HWT-0035","Merchant lineage public marriage and independent household duty","Establish social competence and material knowledge before crisis","Do not invent modern courtship or passive isolation",verified
KAN-02,Kaṇṇaki,separation and judgement,"HWT-0043;HWT-0055;HWT-0056","Removal of ornament warning dream and refusal of ritual remedy","Build active silence and early moral judgement","Dream does not make her omniscient",verified
KAN-03,Kaṇṇaki,material partnership and travel,"HWT-0057;HWT-0058;HWT-0059;HWT-0076","Anklet offered as capital chosen departure and bodily strain","Make her a participant who pays the material and physical cost","Do not erase marital injury through instant reconciliation",verified
KAN-04,Kaṇṇaki,widow and public witness,"HWT-0115;HWT-0117;HWT-0118;HWT-0122","Grief anklet procession citizen judgement and decision to confront king","Transform private grief into public claim","Do not begin with fully controlled courtroom rhetoric",verified
KAN-05,Kaṇṇaki,legal speaker,"HWT-0125;HWT-0126;HWT-0127;HWT-0128;HWT-0129","Gate demand identity statement gem-pearl distinction and material proof","Centre exact evidence and failed investigation","Power must not depend only on shouting",verified
KAN-06,Kaṇṇaki,moral destroyer and sacred memory,"HWT-0132;HWT-0133;HWT-0135;HWT-0144;HWT-0154;HWT-0167;HWT-0194","Vow selective fire city deity hill deification royal proposal and shrine worship","Show local recognition before royal monumentalisation","Do not depict indiscriminate revenge or state creation of her truth",verified
KOV-01,Kōvalaṉ,merchant heir,"HWT-0031;HWT-0032","Wealth lineage and kin-backed marriage","Establish inherited confidence and social access","Privilege does not equal villainy or innocence",verified
KOV-02,Kōvalaṉ,artistic patron and participant,"HWT-0036;HWT-0041;HWT-0045;HWT-0046","Mādhavi institution garland economy yāḻ technique and song","Make attraction artistic economic and emotional","Do not make Mādhavi magically control him",verified
KOV-03,Kōvalaṉ,misreading and departure,"HWT-0048;HWT-0049","Mādhavi answers through performance and he reads deceit","Make interpretation itself causal","His suspicion is not proof of infidelity",verified
KOV-04,Kōvalaṉ,shame and attempted recovery,"HWT-0057;HWT-0058;HWT-0084;HWT-0085","Admission of lost wealth anklet plan and recognition of Mādhavi's innocence","Preserve incomplete moral repair and practical hope","Do not turn return into total redemption",verified
KOV-05,Kōvalaṉ,unprotected trader and accused man,"HWT-0100;HWT-0101;HWT-0102","Entry into artisan street goldsmith deception and execution without inquiry","Show how market vulnerability becomes state violence","Execution is not deserved cosmic punishment",verified
KOV-06,Kōvalaṉ,posthumous vindication,"HWT-0116;HWT-0126;HWT-0129;HWT-0187","Innocence in theft charge proven and later memory reconnects consequences","Separate legal innocence from earlier relational responsibility","Do not rewrite his entire life as blameless",verified
MAD-01,Mādhavi,trained artist,"HWT-0036;HWT-0037","Seven-year training and specialist teachers","Show disciplined labour before glamour","Do not stage spontaneous sensual talent",verified
MAD-02,Mādhavi,publicly validated performer,"HWT-0038;HWT-0039;HWT-0040;HWT-0041","Measured stage consecration ensemble order royal reward and garland economy","Build an institution around her debut","No single modern label fully defines her status",verified
MAD-03,Mādhavi,intimate artistic partner,"HWT-0042;HWT-0045;HWT-0046","Evening preparation and shared musical language","Use rehearsal listening and coded exchange as relationship action","Do not reduce intimacy to seduction",verified
MAD-04,Mādhavi,misread counter-speaker,"HWT-0048;HWT-0049","She interprets Kōvalaṉ and answers in the same form before he leaves","Preserve ambiguity between performance and interpretation","Do not confirm Kōvalaṉ's suspicion as fact",verified
MAD-05,Mādhavi,writer and abandoned correspondent,"HWT-0051;HWT-0052;HWT-0053;HWT-0085","Technical musicianship flower-letter messenger appeal and later correction","Translate public artistry into vulnerable material communication","Do not make her passive after abandonment",verified
MAD-06,Mādhavi,renunciant in later memory,"HWT-0187;HWT-0195","Later testimony links her grief renunciation and memory to Pattini world","Treat withdrawal as consequence and changed responsibility","Renunciation must not retroactively condemn art",verified
KAU-01,Kauṇṭi,assessing witness,"HWT-0060","Questions the couple and recognises road danger for Kaṇṇaki","Establish considered decision to join","Do not make her predict the full future",verified
KAU-02,Kauṇṭi,ascetic commitment,"HWT-0064","Receives teaching on karma and states disciplined conviction","Ground authority in practice and speech","Avoid generic later-period holy-person imagery",verified
KAU-03,Kauṇṭi,ethical route-maker,"HWT-0068;HWT-0071;HWT-0073","Hears competing routes and rejects cave quest for direct ethical travel","Let protection of life govern route choice","Do not turn plural traditions into caricature",verified
KAU-04,Kauṇṭi,practical protector,"HWT-0074;HWT-0075;HWT-0076","Illusion heat hunter country and Kaṇṇaki's exhaustion","Show halts positioning and terrain competence","Protection is not supernatural control",verified
KAU-05,Kauṇṭi,refuge broker,"HWT-0082;HWT-0098;HWT-0099","Outer lodging and transfer of Kaṇṇaki into Mādhari's household care","Show deliberate transfer between ascetic and domestic protection","Do not reduce handover to sentimental blessing",verified
KAU-06,Kauṇṭi,grieving renunciant,"HWT-0187","Later report connects her fasting death to the Madurai catastrophe","Preserve emotional and political connection to wrongful execution","Do not frame fasting as guilt punishment or convenient disappearance",verified