evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0001,TEXT,Three governing truths,Cilappatikaram English translation,Prologue lines 55-60,"The poem announces failed government, praise of the renowned chaste wife, and ripening past action as governing truths",citation_only,approved,"Verify final screenplay wording against Tamil"
EV-0002,TEXT,Epic belongs to three crowned kings,Cilappatikaram English translation,Prologue lines 55-60,"The work is explicitly said to belong equally to the three crowned kings",citation_only,approved,"Binding support for retaining the Vanji movement"
EV-0003,TEXT,Anklet names the epic,Cilappatikaram English translation,Prologue lines 55-60,"The fate-entwined anklet is named as the cause and gives the work its title",citation_only,approved,"Treat as narrative object and evidentiary system"
EV-0004,TEXT,Pukar merchant households,Cilappatikaram English translation,Pukar Canto 1,"Kannaki and Kovalan are introduced through wealthy merchant lineages in celebrated Pukar",citation_only,approved,"Household economy requires further canto extraction"
EV-0005,TEXT,Literary ages stated,Cilappatikaram English translation,Pukar Canto 1 lines 20-39,"Kannaki is described as twelve and Kovalan as sixteen at introduction",citation_only,approved,"Literary age statements do not determine performer age"
EV-0006,TEXT,Kovalan loses wealth,Cilappatikaram English translation,Prologue lines 11-20,"Kovalan loses rare wealth through his life with a woman trained for the theatre",citation_only,approved,"Later cantos must supply relational and artistic complexity"
EV-0007,TEXT,Kannaki's anklet becomes survival property,Cilappatikaram English translation,Prologue lines 16-20,"Kovalan enters Madurai intending to sell a finely wrought anklet belonging to Kannaki",citation_only,approved,"Track custody and consent through full text"
EV-0008,TEXT,Goldsmith's prior theft,Cilappatikaram English translation,Prologue lines 21-30,"The goldsmith recognises the anklet in relation to the queen's anklet that he had stolen",citation_only,approved,"Do not simplify the case to innocent visual confusion"
EV-0009,TEXT,Execution without investigation,Cilappatikaram English translation,Prologue lines 26-31,"The Pandya does not investigate and orders the suspected thief killed and the anklet brought",citation_only,approved,"Central institutional-failure evidence"
EV-0010,TEXT,Kovalan is executed,Cilappatikaram English translation,Prologue lines 31-35,"Kovalan is slain at the execution ground before the truth is tested",citation_only,approved,"Sequence requires procedural mapping"
EV-0011,TEXT,Kannaki burns Madurai,Cilappatikaram English translation,Prologue lines 31-35,"Kannaki tears off a breast and feeds Madurai to flame after Kovalan's killing",citation_only,approved,"Must be staged with inhabited civic consequence"
EV-0012,TEXT,Government failure has moral consequence,Cilappatikaram English translation,Prologue lines 55-60,"Righteous law becomes death to rulers who fail in government",citation_only,approved,"Do not reduce to private vengeance"
EV-0013,TEXT,Past action and former-birth curse,Cilappatikaram English translation,Prologue lines 41-54,"The Madurai deity explains that an ancient deed and curse have ripened for the couple",citation_only,approved,"Karmic explanation must not erase present responsibility"
EV-0014,TEXT,Continuous prose-song architecture,Cilappatikaram English translation,Prologue lines 61-90,"The prologue inventories the cantos and describes a continuous poem interweaving prose and song",citation_only,approved,"Performance forms must retain narrative function"
EV-0015,TEXT,Madurai institutional sequence,Cilappatikaram English translation,Madurai contents cantos 14-23,"The book proceeds through city, refuge, execution ground, suffering, city-circling, lawsuit, vow, burning and divine explanation",citation_only,approved,"Supports an institution-to-catastrophe dramatic spine"
EV-0016,TEXT,Landscapes change under severe season,Cilappatikaram English translation,Madurai Canto 11 lines 62-67,"Mullai and kurinji lose their ordinary nature and assume the form called palai",citation_only,approved,"Avoid static textbook landscape imagery"
EV-0017,TEXT,Road contains agricultural abundance,Cilappatikaram English translation,Madurai Canto 11 lines 80-85,"The route description names rice, sugarcane, millet, varaku, garlic, turmeric, plantain, areca, coconut, mango and jackfruit",citation_only,approved,"Food and crop identification needs Tamil and botanical review"
EV-0018,TEXT,Plural sacred geography,Cilappatikaram English translation,Madurai Canto 11 lines 34-118,"The road narrative includes multiple sacred places, deities, ascetics and traditions",citation_only,approved,"Do not homogenise religious worlds"
EV-0019,TEXT,Hill people question Kannaki,Cilappatikaram English translation,Vanji Canto 24 prose prelude,"Hill people encounter the one-breasted Kannaki beneath a flowering vengai and ask who she is",citation_only,approved,"Their witnessing begins the social transformation"
EV-0020,TEXT,Kannaki names her catastrophe,Cilappatikaram English translation,Vanji Canto 24 prose prelude,"Kannaki states that Madurai and its king were destroyed when past action took form and that she lost her husband",citation_only,approved,"Preserve her own account rather than replacing it with narration"
EV-0021,TEXT,Hill community adopts Kannaki as deity,Cilappatikaram English translation,Vanji Canto 24 lines 1-18,"The hill people call their settlement to take Kannaki as deity and establish worship through music, flowers, smoke and protective boundary",citation_only,approved,"Community action must not be picturesque background"
EV-0022,TEXT,Celestial reunion,Cilappatikaram English translation,Vanji Canto 24 prose prelude,"Celestials rain flowers and take Kannaki away together with Kovalan",citation_only,approved,"Supernatural treatment requires theological and cinematic review"
EV-0023,CAUTION,No exact production date,Project methodology,Historical world,"The literary and historical horizons must not be collapsed into one advertised exact year without specialist support",original,approved,"Binding publicity and design caution"
EV-0024,INTERPRETATION,Anklet as audiovisual throughline,Project adaptation,Cinematic structure,"The paired anklets can organise sound, custody, memory, false identification and proof across the film",original,provisional,"Must remain subordinate to textual function"
EV-0025,CAUTION,No minor performers in mature material,Project methodology,Casting,"Literary age statements must not place minor performers in mature relationship, coercion or violent material",original,approved,"Binding safeguarding rule"
EV-0026,CAUTION,No automatic medieval visual style,Project methodology,Production design,"Later imperial Chola and medieval temple styles must not be used as default evidence for the epic's world",original,approved,"Requires archaeology and art-history review"
EV-0027,INTERPRETATION,Make justice procedure visible,Project adaptation,Madurai dramatic design,"The film should show how accusation moves through authority into execution so institutional failure remains legible",original,provisional,"Supported by EV-0008 through EV-0012"
EV-0028,CAUTION,Karma is not a legal verdict,Project methodology,Ethical framework,"Past-action explanations must not excuse false testimony, failed investigation or summary killing",original,approved,"Binding dialogue and publicity rule"