sequence_order,scene_id,scene_title,narrative_block,canto,source_ids,form_label,lock_state,location_time,principal_characters,dramatic_function,scene_turn,production_focus,transition_target,interpretive_limit,status
1,SCN-PUK-001,Moral contract,epic frame,Prologue,HWT-0001,MIXED_PERFORMANCE,LOCKED_SOURCE,formal epic space,"Kaṇṇaki;Kōvalaṉ;future memory",Establish accountability Pattini recognition causation and anklet spine,Anklet becomes title-bearing object,anklet macro and three-world motifs,SCN-PUK-002,Do not reveal the full future as prophecy,verified
2,SCN-PUK-002,The city that can be lost,Pukār foundation,"1 Wedding Blessing;2 Domestic Virtue","HWT-0029;HWT-0033",SOURCE_COMPOSITE,LOCKED_ADAPTATION,Kāviri-fed Pukār morning,"port labour;merchants;households",Build Pukār as functioning maritime economy,City becomes causal support system,harbour logistics and urban labour,SCN-PUK-003,Do not reduce Pukār to fantasy palace,verified
3,SCN-PUK-003,Two merchant houses make a marriage,merchant marriage,1 Wedding Blessing,"HWT-0030;HWT-0031;HWT-0032",SOURCE_DIRECT,LOCKED_SOURCE,merchant quarters day,"Kaṇṇaki;Kōvalaṉ;families",Establish kinship property and public expectation,Couple becomes recognised household pair,wedding pavilion elephants lamps and percussion,SCN-PUK-004,Do not invent modern courtship as source fact,verified
4,SCN-PUK-004,A household of their own,domestic world,2 Domestic Virtue,"HWT-0034;HWT-0035",SOURCE_COMPOSITE,DEVELOPMENT,multi-level merchant residence,"Kaṇṇaki;Kōvalaṉ;servants;guests",Show domestic competence and material life,Marriage becomes daily responsibility,vertical household architecture and stores,SCN-PUK-005,Invented domestic conflict must be labelled,verified
5,SCN-PUK-005,Seven years in the body,Mādhavi training,3 Arangēṟṟu,"HWT-0036;HWT-0037",SOURCE_COMPOSITE,LOCKED_ADAPTATION,rehearsal spaces multi-year,"Mādhavi;teachers;trainees",Establish disciplined artistic mastery,Child trainee becomes royal-level performer,training costume instruments and repetition,SCN-PUK-006,Do not present mastery as spontaneous sensuality,verified
6,SCN-PUK-006,Building and consecrating the stage,performance infrastructure,3 Arangēṟṟu,"HWT-0038;HWT-0039;HWT-0040",MIXED_PERFORMANCE,RESEARCH_HOLD,performance arena,"stage workers;ritual specialists;musicians;Mādhavi",Show performance as civic infrastructure,Private training enters public judgement,stage engineering curtains lamps and ensemble order,SCN-PUK-007,Avoid unsupported later theatre architecture,verified
7,SCN-PUK-007,Debut reward and garland threshold,public performance economy,3 Arangēṟṟu,HWT-0041,SOURCE_DIRECT,DEVELOPMENT,royal arena evening,"Mādhavi;ruler;ensemble;Kōvalaṉ",Bring Kōvalaṉ into Mādhavi's world through choice,Public admiration becomes private access,royal reward garland transaction and crowd,SCN-PUK-008,No single modern label fully defines Mādhavi,verified
8,SCN-PUK-008,Two evenings in one city,parallel households,4 Evening,"HWT-0042;HWT-0043",PARALLEL_SOURCE,LOCKED_ADAPTATION,intercut evening,"Mādhavi;Kōvalaṉ;Kaṇṇaki",Contrast preparation with subtraction,Same evening creates intimacy and absence,matched lamps ornament handling and parallel edit,SCN-PUK-009,Do not imply Kaṇṇaki knows unshown details,verified
9,SCN-PUK-009,The festival city mobilises,civic spectacle,5 Indra Festival,HWT-0002-HWT-0022,SOURCE_COMPOSITE,RESEARCH_HOLD,Pukār quarters festival days,"traders;craftspeople;warriors;crowds;sacred institutions",Place relationships inside cosmopolitan civic systems,Normal city becomes intensified festival order,two-quarter city markets forums flags and elephants,SCN-PUK-010,Do not flatten the festival into generic later ritual,verified
10,SCN-PUK-010,Eleven dances and the working costume,performance labour,6 Sea-Bathing Festival,"HWT-0023;HWT-0024",MIXED_PERFORMANCE,RESEARCH_HOLD,preparation and public display,"Mādhavi;ensemble;attendants",Make dance and costume narrative labour,Performer is rebuilt through disciplined preparation,dance reconstruction ornaments and movement-safe costume,SCN-PUK-011,Unrecoverable choreography must be labelled reconstruction,verified
11,SCN-PUK-011,Through the lit city to the sea,festival route,6 Sea-Bathing Festival,"HWT-0025;HWT-0026;HWT-0027",SOURCE_COMPOSITE,LOCKED_ADAPTATION,streets to shore pre-dawn,"Mādhavi;Kōvalaṉ;sellers;guards;crowds",Move intimacy through visible labour and public access,Urban enclosure opens into communal shore,profession-specific lamps boats and lighthouse,SCN-PUK-012,Do not turn profession lamps into generic decoration,verified
12,SCN-PUK-012,The song that begins the break,Kāṉal Vari opening,"6 Sea-Bathing Festival;7 Kāṉal Vari","HWT-0028;HWT-0045;HWT-0046;HWT-0047",MIXED_PERFORMANCE,LOCKED_SOURCE,beach pavilion dawn,"Kōvalaṉ;Mādhavi;yāḻ",Begin rupture through indirect artistic speech,Shared musical language becomes unstable,beach pavilion yāḻ and coastal world,SCN-PUK-013,Do not rewrite song as explicit modern accusation,verified
13,SCN-PUK-013,Mādhavi answers in the same language,Kāṉal Vari response,7 Kāṉal Vari,HWT-0048,MIXED_PERFORMANCE,LOCKED_SOURCE,beach pavilion dawn,"Mādhavi;Kōvalaṉ;yāḻ",Make counter-speech active while preserving ambiguity,Artistic reciprocity becomes interpretive contest,live performance and listening close-ups,SCN-PUK-014,Her song is not objective confession,verified
14,SCN-PUK-014,He leaves the performance unfinished,separation,7 Kāṉal Vari,HWT-0049,SOURCE_DIRECT,LOCKED_SOURCE,pavilion and shoreline morning,"Kōvalaṉ;Mādhavi",Make misreading the immediate cause of rupture,Shared artistic world is broken unilaterally,shoreline blocking and sound withdrawal,SCN-PUK-015,Do not validate his suspicion with invented evidence,verified
15,SCN-PUK-015,Summer after the rupture,aftermath,8 Summer,"HWT-0050;HWT-0051",SOURCE_COMPOSITE,DEVELOPMENT,Pukār hot season,"Mādhavi;musicians;city",Show artistic labour continuing after abandonment,Routine becomes private survival,heat instrument maintenance and reduced public energy,SCN-PUK-016,Do not portray artistic incapacity after loss,verified
16,SCN-PUK-016,The flower-letter,material appeal,8 Summer,"HWT-0052;HWT-0053",MIXED_PERFORMANCE,LOCKED_ADAPTATION,Mādhavi residence evening,"Mādhavi;Vasantamālai",Translate artistry into vulnerable material communication,Indirect performance becomes deliberate writing,flower pigment seal and messenger practice,SCN-PUK-017,Do not turn it into generic romantic prose,verified
17,SCN-PUK-017,Sacred plurality and the warning dream,Kaṇṇaki warning,9 Dream,"HWT-0054;HWT-0055",MIXED_PERFORMANCE,DEVELOPMENT,Kaṇṇaki household night,"Kaṇṇaki;Dēvanti;sacred institutions",Give early interpretation without omniscience,Private unease becomes articulated warning,reusable sacred locations and dream sound grammar,SCN-PUK-018,Dream must not reveal the complete plot,verified
18,SCN-PUK-018,Kaṇṇaki refuses the proposed remedy,ethical judgement,9 Dream,HWT-0056,SOURCE_DIRECT,LOCKED_SOURCE,household morning,"Kaṇṇaki;Dēvanti",Establish judgement before Kōvalaṉ returns,She declines ritual remedy and remains in reality,water ritual objects and restrained blocking,SCN-PUK-019,Do not frame refusal as rejection of all sacred practice,verified
19,SCN-PUK-019,Return without restoration,reconciliation attempt,9 Dream,HWT-0057,SOURCE_DIRECT,DEVELOPMENT,Kaṇṇaki household day,"Kaṇṇaki;Kōvalaṉ",Reunite them through shame and need,Material collapse is acknowledged,reduced household and performance restraint,SCN-PUK-020,Do not present instant romantic restoration,verified
20,SCN-PUK-020,The anklet becomes capital,recovery plan,9 Dream,HWT-0058,SOURCE_DIRECT,LOCKED_SOURCE,private chamber continuous,"Kaṇṇaki;Kōvalaṉ;anklet",Convert marital property into surviving capital,Departure gains material basis,matched anklet pair and gem continuity,SCN-PUK-021,Do not stage the offer as impulsive forgiveness,verified
21,SCN-PUK-021,Leaving before the city wakes,departure,10 Seeing the Country,HWT-0059,SOURCE_DIRECT,LOCKED_SOURCE,house to long gate pre-dawn,"Kaṇṇaki;Kōvalaṉ",Make departure irreversible bodily action,They lose immediate household and kin protection,portable goods gate mechanics and low-light movement,SCN-PUK-022,No invented pursuit or farewell without bridge label,verified
22,SCN-PUK-022,Crossing the sacred and civic edge,city threshold,10 Seeing the Country,"HWT-0059;HWT-0060",SOURCE_COMPOSITE,RESEARCH_HOLD,city edge and Kāviri dawn,"Kaṇṇaki;Kōvalaṉ;sacred establishments",Preserve plural sacred city while exposing travellers,Civic identity gives way to road vulnerability,differentiated sacred architecture and river geography,SCN-PUK-023,Architectural reconstruction remains provisional,verified
23,SCN-PUK-023,Kauṇṭi assesses the travellers,guide encounter,10 Seeing the Country,HWT-0060,SOURCE_DIRECT,LOCKED_SOURCE,Kāviri grove morning,"Kauṇṭi;Kaṇṇaki;Kōvalaṉ",Introduce authority grounded in observation,Private plan is tested by outsider,ascetic implements and three-person blocking,SCN-PUK-024,Kauṇṭi must not be omniscient,verified
24,SCN-PUK-024,Pukār becomes memory,handoff to road,10 Seeing the Country,"HWT-0059;HWT-0060;HWT-0061",CONTROLLED_BRIDGE,LOCKED_ADAPTATION,southward path morning,"Kaṇṇaki;Kōvalaṉ;Kauṇṭi",Close city movement and announce road terms,Pukār changes from present world to memory,terrain hazards and first visible foot strain,SCN-ROAD-001,Exact final city view is cinematic interpretation,verified